Geneid,UHR_Rep1,UHR_Rep2,UHR_Rep3,HBR_Rep1,HBR_Rep2,HBR_Rep3
ENSG00000236235,0,0,1,0,0,0
ENSG00000279442,0,4,0,0,0,0
ENSG00000184624,0,2,0,0,0,0
ENSG00000236097,0,1,0,0,0,0
ENSG00000237299,0,1,0,0,0,0
ENSG00000235759,0,4,0,0,0,0
ENSG00000233408,0,2,0,0,0,0
ENSG00000215268,0,4,0,0,0,0
ENSG00000230471,0,2,0,0,0,0
ENSG00000231565,0,2,1,0,0,0
ENSG00000224435,2,3,1,0,0,0
ENSG00000234381,0,0,1,0,0,0
ENSG00000198062,12,12,22,0,0,2
ENSG00000236666,0,4,0,0,0,0
ENSG00000241838,3,2,4,0,0,0
ENSG00000225255,5,0,0,0,0,0
ENSG00000235992,0,2,0,0,0,0
ENSG00000206195,368,299,332,20,7,15
ENSG00000271127,32,18,38,0,2,0
ENSG00000272872,187,74,95,7,4,0
ENSG00000223875,8,6,0,0,0,0
ENSG00000233866,0,2,0,0,0,0
ENSG00000225293,0,2,0,0,0,0
ENSG00000229658,0,2,0,0,0,0
ENSG00000227367,0,1,0,0,0,0
ENSG00000239435,4,2,2,0,0,0
ENSG00000198445,2,0,0,0,0,0
ENSG00000100181,230,151,187,36,32,30
ENSG00000283633,21,18,27,2,6,4
ENSG00000267338,5,8,4,0,0,2
ENSG00000249288,0,0,1,0,0,0
ENSG00000189295,1,0,0,0,0,0
ENSG00000241717,0,2,0,4,4,8
ENSG00000172967,5,8,14,0,0,0
ENSG00000220248,2,0,0,0,0,0
ENSG00000237689,5,0,2,2,4,4
ENSG00000254264,0,1,0,0,0,0
ENSG00000280156,0,32,2,2,2,2
ENSG00000237438,58,55,46,42,52,57
ENSG00000273203,6,5,8,14,12,8
ENSG00000273442,0,3,4,0,4,4
ENSG00000177663,187,139,164,116,129,115
ENSG00000183307,18,10,8,52,90,61
ENSG00000235478,0,0,0,4,6,2
ENSG00000069998,252,163,278,58,85,66
ENSG00000185837,3,3,2,0,1,4
ENSG00000093072,75,54,44,56,54,58
ENSG00000203416,0,0,0,0,2,0
ENSG00000241832,0,2,0,0,0,2
ENSG00000099954,236,160,196,227,173,237
ENSG00000229492,0,2,2,1,8,1
ENSG00000182902,3,6,12,200,224,161
ENSG00000236754,2,4,0,4,0,0
ENSG00000131100,495,359,406,787,906,797
ENSG00000099968,481,321,392,413,557,522
ENSG00000015475,209,132,206,82,84,99
ENSG00000264757,0,0,1,0,0,0
ENSG00000269220,2,4,8,0,0,0
ENSG00000243156,410,268,379,653,844,828
ENSG00000093100,2,4,2,9,11,16
ENSG00000207780,0,0,0,0,0,7
ENSG00000235445,4,2,2,4,12,4
ENSG00000234913,2,4,4,4,18,7
ENSG00000237446,0,0,2,0,0,0
ENSG00000235295,0,2,0,0,0,0
ENSG00000225335,2,4,4,4,6,8
ENSG00000215193,422,280,384,297,369,285
ENSG00000225225,0,2,0,0,0,0
ENSG00000183785,4,3,0,30,41,37
ENSG00000280007,8,16,2,2,6,0
ENSG00000184979,51,24,36,6,11,4
ENSG00000278558,0,4,4,2,2,6
ENSG00000274602,113,63,61,34,23,42
ENSG00000275793,4,4,12,2,4,0
ENSG00000197421,0,0,2,0,0,0
ENSG00000234764,6,0,0,0,0,0
ENSG00000161103,2,2,2,0,0,0
ENSG00000215544,0,0,0,0,0,1
ENSG00000183628,35,28,29,133,180,152
ENSG00000100033,99,62,96,232,282,275
ENSG00000279560,4,1,4,0,0,0
ENSG00000280418,0,0,0,0,2,0
ENSG00000237517,14,10,11,270,335,271
ENSG00000283406,0,0,0,10,12,21
ENSG00000283366,0,0,0,28,24,25
ENSG00000273032,7,1,6,88,90,87
