"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"ENSG00000128245",1629.13264196615,2.58568627907392,0.0679759140137158,38.0382715935559,0,0,"Up dans HBR"
"ENSG00000100321",1074.09399952149,4.73385327653696,0.109861393434373,43.0893249079784,0,0,"Up dans HBR"
"ENSG00000100167",1056.72151012449,4.62084483365367,0.110490836013359,41.8210686096627,0,0,"Up dans HBR"
"ERCC-00004",3764.77495123265,-2.42530146718138,0.0536721985487709,-45.1872949638453,0,0,"Down dans HBR"
"ERCC-00130",28744.0759962477,-2.10052371197384,0.0381019122397632,-55.1290890272362,0,0,"Down dans HBR"
"ENSG00000225783",736.914416461813,4.01538602586025,0.116301683836703,34.5256052483142,3.31239219543615e-261,3.45040853691266e-259,"Up dans HBR"
"ERCC-00136",1830.56209631921,-2.24637835397694,0.0661870482137154,-33.9398479703079,1.72211972926469e-252,1.53760690112919e-250,"Down dans HBR"
"ENSG00000100095",555.14755749315,5.27999375252148,0.170056693547058,31.0484323926973,1.19782003146493e-211,9.35796899581974e-210,"Up dans HBR"
"ENSG00000008735",573.399155184618,5.72124852952294,0.188110530639628,30.4142915873402,3.55525001498406e-203,2.46892362151671e-201,"Up dans HBR"
"ENSG00000184702",725.220600119061,2.79640452328422,0.094032068973918,29.7388386089842,2.41783947001382e-194,1.51114966875864e-192,"Up dans HBR"
"ENSG00000251322",489.755133746635,4.0849222795012,0.138285690245031,29.5397323632189,8.89752812073962e-192,5.0554137049657e-190,"Up dans HBR"
"ENSG00000100316",3389.72335420998,-1.5907605463793,0.0577290330910187,-27.5556416105432,3.78750287576497e-167,1.97265774779426e-165,"Down dans HBR"
"ENSG00000167074",448.766961699002,3.88270604249686,0.142079736430415,27.3276551607234,1.99085026370213e-164,9.57139549856791e-163,"Up dans HBR"
"ENSG00000241973",1645.39189437675,2.12041505351121,0.0778546785025145,27.2355508274654,2.46476785943461e-163,1.10034279439045e-161,"Up dans HBR"
"ENSG00000183741",1213.66290502783,1.99361210704591,0.0734398691703811,27.146182714742,2.80888287135317e-162,1.17036786306382e-160,"Up dans HBR"
"ENSG00000100219",759.170589914033,-2.82614862735617,0.105204347292444,-26.8634205723468,5.87913428658309e-159,2.29653683069652e-157,"Down dans HBR"
"ENSG00000221890",535.969276123885,3.32977839878029,0.124611887491662,26.7211938267375,2.67009969579145e-157,9.81654299923329e-156,"Up dans HBR"
"ENSG00000100307",389.366764889334,4.10530325566249,0.15779419779851,26.0168200918554,3.19538774838477e-149,1.10950963485582e-147,"Up dans HBR"
"ENSG00000100427",377.682021220257,5.29129101649273,0.205643338504552,25.7304275206347,5.33881115587765e-146,1.75618788022291e-144,"Up dans HBR"
"ENSG00000128268",356.834955997476,4.16277421894157,0.16496164698027,25.2348003014268,1.66322799264592e-140,5.1975874770185e-139,"Up dans HBR"
"ENSG00000100345",2271.89775740418,-1.60718266069,0.065199802568898,-24.6501154507586,3.6696439103132e-134,1.09215592568845e-132,"Down dans HBR"
"ENSG00000128266",306.723585745938,3.75912418144719,0.166742118188441,22.5445389700452,1.51917828697053e-112,4.31584740616627e-111,"Up dans HBR"
"ERCC-00002",38788.886031481,0.893276444160999,0.0396511649162799,22.52837832248,2.18821828945002e-112,5.94624535176637e-111,"NS"
"ENSG00000130540",365.184201200542,6.56419841329498,0.29406013353848,22.3226397074189,2.22743093428154e-110,5.80060139135818e-109,"Up dans HBR"
"ENSG00000100285",294.651527554889,3.84709890988383,0.172826655423556,22.2598701598172,9.05091198253369e-110,2.26272799563342e-108,"Up dans HBR"
"ERCC-00108",783.27331671337,-2.23367130717035,0.106733815623896,-20.9274941977271,3.00904195099289e-97,7.23327392065599e-96,"Down dans HBR"
"ENSG00000100097",572.697775446339,-2.32627979292097,0.112638378652736,-20.6526391869763,9.24299311837438e-95,2.13958174036444e-93,"Down dans HBR"
"ENSG00000099901",474.454056154996,-2.37081187537196,0.117409624527488,-20.1926535828152,1.13596344316774e-90,2.53563268564227e-89,"Down dans HBR"
"ENSG00000100297",375.812961979048,-3.19289317678088,0.162458125815618,-19.6536378882313,5.3814116128843e-86,1.15978698553541e-84,"Down dans HBR"
"ENSG00000100241",1213.36423268499,1.33403191398646,0.0688062847185646,19.3882276806979,9.70228383496002e-84,2.02130913228334e-82,"Up dans HBR"
"ERCC-00116",923.516588025803,-2.10384667803065,0.109337054882201,-19.2418451393018,1.65221012147902e-82,3.33106879330448e-81,"Down dans HBR"
"ENSG00000167037",194.625443267248,5.44407649565708,0.292647487298485,18.6028472204322,3.0468698030255e-77,5.95091758403417e-76,"Up dans HBR"
"ENSG00000219438",192.385338064562,3.77030200398043,0.206276994699674,18.2778598722061,1.24204979168773e-74,2.35236702971162e-73,"Up dans HBR"
"ENSG00000237517",178.112854702711,5.18644124980055,0.285838019296306,18.1446864996086,1.41439788978847e-73,2.59999612093469e-72,"Up dans HBR"
"ENSG00000100353",640.654506805113,-1.87390162190434,0.105472945067983,-17.7666568492661,1.28101220409716e-70,2.28752179303064e-69,"Down dans HBR"
"ENSG00000225465",213.015255103121,6.43548877849814,0.374269982299234,17.1947767196378,2.90575072196917e-66,5.04470611452981e-65,"Up dans HBR"
"ENSG00000100320",1162.14912026037,1.21676308081344,0.0718434462607253,16.9363128321783,2.42878714281465e-64,4.1026809844842e-63,"Up dans HBR"
