Module	Section	Sample Name	Source
FastQC	all_sections	UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1_fastqc.zip
FastQC	all_sections	HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1_fastqc.zip
FastQC	all_sections	HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2_fastqc.zip
FastQC	all_sections	UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2_fastqc.zip
FastQC	all_sections	HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1_fastqc.zip
FastQC	all_sections	UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1_fastqc.zip
FastQC	all_sections	HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1_fastqc.zip
FastQC	all_sections	UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2_fastqc.zip
FastQC	all_sections	HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2_fastqc.zip
FastQC	all_sections	HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2_fastqc.zip
FastQC	all_sections	UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2_fastqc.zip
FastQC	all_sections	UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1	/data/jwd07/pulsar_staging/98584065/working/jupyter/galaxy_inputs/rnaseq_analysis/results/01_fastqc/UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1_fastqc.zip
