Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1	42.68581693668773	50.0	100.0	100	9.090909090909092	118571.0
HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2	43.55955503453627	50.0	100.0	100	9.090909090909092	118571.0
HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1	44.349080966124866	50.0	100.0	100	9.090909090909092	144826.0
HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2	45.194923563448555	50.0	100.0	100	0.0	144826.0
HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.read1	43.329018538209056	50.0	100.0	100	9.090909090909092	129786.0
HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.read2	44.05791071456089	50.0	100.0	100	0.0	129786.0
UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1	44.53446790661649	49.0	100.0	100	9.090909090909092	227392.0
UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2	45.25801767783306	49.0	100.0	100	0.0	227392.0
UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1	46.779329075646814	48.0	100.0	100	9.090909090909092	162373.0
UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2	47.404433003023904	49.0	100.0	100	9.090909090909092	162373.0
UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.read1	51.462451871744264	49.0	100.0	100	18.181818181818183	185442.0
UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.read2	52.71998792075151	49.0	100.0	100	9.090909090909092	185442.0
